,Quality,ID#1,ID#2,#1 String,#2 String
0,1,702876,702977,"Amrozi accused his brother, whom he called ""the witness"", of deliberately distorting his evidence.","Referring to him as only ""the witness"", Amrozi accused his brother of deliberately distorting his evidence."
2,1,1330381,1330521,"They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.","On June 10, the ship's owners had published an advertisement on the Internet, offering the explosives for sale."
4,1,1236820,1236712,"The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.",PG&E Corp. shares jumped $1.63 or 8 percent to $21.03 on the New York Stock Exchange on Friday.
5,1,738533,737951,Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier.,"With the scandal hanging over Stewart's company, revenue the first quarter of the year dropped 15 percent from the same period a year earlier."
7,1,579975,579810,The DVD-CCA then appealed to the state Supreme Court.,The DVD CCA appealed that decision to the U.S. Supreme Court.
9,1,1355540,1355592,He said the foodservice pie business doesn't fit the company's long-term growth strategy.,"""The foodservice pie business does not fit our long-term growth strategy."
13,1,1464126,1464107,But he added group performance would improve in the second half of the year and beyond.,De Sole said in the results statement that group performance would improve in the second half of the year and beyond.
14,1,771416,771467,He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.,"""Saddam's daughters had British schools and hospitals in mind when they decided to ask for asylum -- especially the schools,"" he told The Sun."
19,1,2150265,2150184,"Sheena Young of Child, the national infertility support network, hoped the guidelines would lead to a more ""fair and equitable"" service for infertility sufferers.","Sheena Young, a spokesman for Child, the national infertility support network, said the proposed guidelines should lead to a more ""fair and equitable"" service for infertility sufferers."
21,1,1284150,1284173,"The new Finder puts a user's folders, hard drive, network servers, iDisk and removable media in one location, providing one-click access.","Panther's redesigned Finder navigation tool puts a user's favourite folders, hard drive, network servers, iDisk and removable media in one location."
22,1,3270389,3270327,"But tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas and the Turk and Caicos islands.","Tropical storm warnings were in place Thursday for Jamaica and Haiti and watches for the western Dominican Republic, the southeastern Bahamas and the Turks and Caicos islands."
23,1,2294059,2294112,A federal magistrate in Fort Lauderdale ordered him held without bail.,"Zuccarini was ordered held without bail Wednesday by a federal judge in Fort Lauderdale, Fla."
26,1,1321918,1321644,"Six months ago, the IMF and Argentina struck a bare-minimum $6.8-billion debt rollover deal that expires in August.","But six months ago, the two sides managed to strike a $6.8-billion debt rollover deal, which expires in August."
27,1,1239046,1239031,"Inhibited children tend to be timid with new people, objects, and situations, while uninhibited children spontaneously approach them.","Simply put, shy invividuals tend to be more timid with new people and situations."
28,1,2907515,2907224,"I wanted to bring the most beautiful people into the most beautiful building, he said Sunday inside the Grand Central concourse.","""I wanted to bring the most beautiful people into the most beautiful building,"" Tunick said Sunday."
31,1,105493,105432,"Singapore is already the United States' 12th-largest trading partner, with two-way trade totaling more than $34 billion.","Although a small city-state, Singapore is the 12th-largest trading partner of the United States, with trade volume of $33.4 billion last year."
32,1,1989515,1989458,The AFL-CIO is waiting until October to decide if it will endorse a candidate.,The AFL-CIO announced Wednesday that it will decide in October whether to endorse a candidate before the primaries.
34,1,14663,14617,"The largest gains were seen in prices, new orders, inventories and exports.","Sub-indexes measuring prices, new orders, inventories and exports increased."
35,1,1692902,1692851,Trading in Loral was halted yesterday; the shares closed on Monday at $3.01.,"The New York Stock Exchange suspended trading yesterday in Loral, which closed at $3.01 Friday."
37,1,3089434,3089441,"He plans to have dinner with troops at Kosovo's U.S. military headquarters, Camp Bondsteel.","After that, he plans to have dinner at Camp Bondsteel with U.S. troops stationed there."
38,1,2538111,2538021,Retailers J.C. Penney Co. Inc. (JCP) and Walgreen Co. (WAG) kick things off on Monday.,Retailers J.C. Penney Co. Inc. JCP.N and Walgreen Co. WAG.N kick things off on Monday.
39,1,1341941,1341915,Prosecutors filed a motion informing Lee they intend to seek the death penalty.,He added that prosecutors will seek the death penalty.
40,1,374967,375017,"Last year the court upheld Cleveland's school voucher program, ruling 5-4 that vouchers are constitutional if they provide parents a choice of religious and secular schools.","Last year, the court ruled 5-4 in an Ohio case that government vouchers are constitutional if they provide parents with choices among a range of religious and secular schools."
